station,stationLabel,stationID,transportNetworkLabel,address,linjerLabel,connectingLineLabel,årstal,geoLatitude,geoLongitude
"http://www.wikidata.org/entity/Q801448,Slagelse Station,8600605,,""Sønder Stationsvej 28A, 4200 Slagelse"",InterCityLyn,Tølløsebanen,1856-01-01T00:00:00Z,55.4074,11.3484"
"http://www.wikidata.org/entity/Q801448,Slagelse Station,8600605,,""Sønder Stationsvej 28A, 4200 Slagelse"",Regionaltog,Tølløsebanen,1856-01-01T00:00:00Z,55.4074,11.3484"
"http://www.wikidata.org/entity/Q979413,Silkeborg Station,8600266,,""Drewsensvej 5, 8600 Silkeborg"",Regionaltog,Skanderborg-Skjern-banen,1871-05-02T00:00:00Z,56.16417,9.54411"
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,X 2000,Vestbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,InterCity,Vestbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje H,Vestbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje B,Vestbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje Bx,Vestbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje A,Vestbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje C,Vestbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje E,Vestbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,InterCityLyn,Vestbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Øresundstogtrafikken,Vestbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Regionaltog,Vestbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,X 2000,Øresundsbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,InterCity,Øresundsbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje H,Øresundsbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje B,Øresundsbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje Bx,Øresundsbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje A,Øresundsbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje C,Øresundsbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje E,Øresundsbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,InterCityLyn,Øresundsbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Øresundstogtrafikken,Øresundsbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Regionaltog,Øresundsbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,X 2000,Boulevardbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,InterCity,Boulevardbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje H,Boulevardbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje B,Boulevardbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje Bx,Boulevardbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje A,Boulevardbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje C,Boulevardbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje E,Boulevardbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,InterCityLyn,Boulevardbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Øresundstogtrafikken,Boulevardbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Regionaltog,Boulevardbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,X 2000,Nordbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,InterCity,Nordbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje H,Nordbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje B,Nordbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje Bx,Nordbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje A,Nordbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje C,Nordbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje E,Nordbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,InterCityLyn,Nordbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Øresundstogtrafikken,Nordbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Regionaltog,Nordbanen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,X 2000,Køge Bugt-banen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,InterCity,Køge Bugt-banen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje H,Køge Bugt-banen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje B,Køge Bugt-banen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje Bx,Køge Bugt-banen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje A,Køge Bugt-banen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje C,Køge Bugt-banen,1911-12-01T00:00:00Z,55.672778,12.564444
http://www.wikidata.org/entity/Q1495052,Københavns Hovedbanegård,8600626,S-tog,,Linje E,Køge Bugt-banen,1911-12-01T00:00:00Z,55.672778,12.564444
